메뉴종류,상호명,조회수,리뷰수
중식,공덕관,2827,2
중식,경성양꼬치                                    (노원점),2551,1
중식,용천각,2206,1
중식,영빈관,1190,1
중식,대궁,1081,1
중식,춘리마라탕                                    (공릉점),611,1
중식,니뽕내뽕                                    (중계은행사거리점),464,1
중식,신오구반점,125,1
중식,미미,22,1
중식,중쿡집,21,1
중식,짬뽕늬우스                                    (노원점),2648,2
중식,색다른탕수육                                    (과기대점),1997,2
중식,차이니스,2443,1
중식,마시내탕수육                                    (중하계점),1870,1
중식,육갑촌,1819,1
중식,외백,1749,2
중식,인차이나,1545,1
중식,전설의짬뽕                                    (공릉점),1197,1
중식,청도양꼬치,1055,1
중식,라화쿵부                                    (상계역점),720,1
중식,노원우동짜장,368,1
중식,매란방                                    (월계이마트점),65,1
중식,상계짜장,7,1
중식,안시성,3198,0
중식,서울대반점,2290,3
중식,미식성,943,2
중식,용궁중화요리,1964,1
중식,심원중화요리,1478,1
중식,신연마라탕,231,1
중식,보배반점,224,1
중식,챠이몽,3304,0
중식,장천,1358,0
중식,중화루,992,0
중식,서향,3868,2
중식,대림각,1229,1
중식,인정각,297,1
중식,청구반점,2485,0
중식,만리향,2309,0
중식,날으는철가방,1721,0
중식,현진,1593,0
중식,챠이니중화요리,1504,0
중식,옛날짜장,1403,0
중식,태자성,1283,0
중식,궁,1179,0
중식,달짜장,1155,0
중식,일향루,1151,0
중식,월계관,1009,0
중식,짜장과우동,876,0
중식,미스터탕수육,757,0
중식,산동성,752,0
중식,신중국,741,0
중식,칠성해물통짬뽕,674,0
중식,리차이나,660,0
중식,장성반점,607,0
중식,홍콩반점0410                                    (노원역 남부점),424,0
중식,주세프 명인,310,0
중식,슈엔차이,309,0
중식,마녀짬뽕,279,0
중식,금화반점,274,0
중식,더원,228,0
중식,국빈,227,0
중식,호동반점,215,0
중식,인향연 훠궈&샤브샤브,169,0
중식,8월의중식                                    (노원점),152,0
중식,태릉양꼬치양갈비,140,0
중식,락궁,136,0
중식,조이락,126,0
중식,팔선당,100,0
중식,삼호각,93,0
중식,동식이네,93,0
중식,메이향,87,1
중식,미스터홍짬뽕,84,0
중식,중원,83,0
중식,펑라이,79,0
중식,인생마라,74,0
중식,상하이,71,0
중식,훠궈나라                                    (노원점),63,0
중식,도쿄짬뽕                                    (홈플러스중계점),63,0
중식,Chai797Plus                                    (롯데노원점),35,0
중식,양꼬치가,31,0
중식,해담짜장볶는집,29,0
중식,현경양고기무한리필,12,0
중식,광운양꼬치,8,0
중식,중식당몽,1,0
일식,스시다온,2708,4
일식,경성초밥,18162,13
일식,돈부리,116474,91
일식,우애돈카츠,5345,7
일식,로지다이닝,18937,12
일식,구법원,43105,22
일식,쯔이코,27536,21
일식,일상다반,68795,50
일식,네코정,32241,33
일식,스시준,31263,17
일식,스시쟁이,15214,17
일식,에이엔,9021,8
일식,스시웨이                                    (노원점),6902,7
일식,스시하쿠야,211,3
일식,잔월,19535,14
일식,스시통,5549,5
일식,유연카레,8235,9
일식,키노야                                    (공릉점),5371,5
일식,어원일식,5660,0
일식,하나미돈부리,3198,4
일식,시오코,24909,18
일식,로지스시                                    (공릉점),5863,6
일식,스시초심,313,2
일식,아소코,4858,7
일식,연어시장,18253,8
일식,사카나,5207,4
일식,기린,4386,8
일식,상계역코코로돈가스,3842,7
일식,아늑한주방                                    (공릉점),7185,8
일식,이자카야모리,5726,7
일식,스시박사,5902,5
일식,아오리의행방불명                                    (노원점),6816,8
일식,고씨네                                    (광운대점),1403,0
일식,이자와                                    (노원점),7949,11
일식,아비꼬                                    (노원역점),6353,7
일식,이춘복참치                                    (노원직영점),4445,8
일식,설국,3740,2
일식,경양카츠                                    (노원점),273,2
일식,문지원의열정스시,2561,4
일식,관동식당,579,2
일식,늘해돈,173,2
일식,스시쟁이,3692,6
일식,이츠초밥,1107,4
일식,키라키라윤                                    (월계인덕점),3791,2
일식,하이돈부리,3114,5
일식,테츠로주방,3375,3
일식,윤스쿡,1526,3
일식,육승전결카츠,115,1
일식,아임유부,39,1
일식,아늑한연어,1760,3
일식,아리가또맘마                                    (중계홈플러스점),1650,1
일식,스시락                                    (2호점),2474,4
일식,나리타                                    (공릉점),1877,1
일식,휴돈정,197,1
일식,로쿠                                    (노원본점),401,0
일식,스와레,4757,5
일식,고씨네                                    (서울여대점),1211,4
일식,스시조,3896,3
일식,수시로스시,680,2
일식,우애돈카츠,329,2
일식,참치가,1162,1
일식,신가쯔,2675,5
일식,우진상,2599,2
일식,길조,810,2
일식,호키네유부                                    (노원점),59,1
일식,오달,321,0
일식,술사와                                    (상계점),6835,5
일식,사이코우스시,4234,6
일식,수유리우동                                    (성북역점),3847,3
일식,도쿄식탁,1640,3
일식,서초우동,2302,2
일식,아리엔,418,2
일식,장군초밥,137,1
일식,정직유부                                    (노원역점),90,1
일식,라무야끼,1288,0
일식,호재돈까스,1299,3
일식,하토상의술방,1874,2
일식,스시오사카,2022,1
일식,일성스시,1503,1
일식,아츠마루,1386,1
일식,풍운일식,3730,2
일식,스시정상,1617,2
일식,참치박사,2782,1
일식,정겨운오뎅집,1899,1
일식,잇또라멘                                    (공릉점),1789,1
일식,오늘은돈부리,1274,1
일식,쌈촌                                    (화랑대역점),1024,1
일식,하다식당                                    (월계점),269,1
일식,미야코,3167,1
일식,잼재미초밥,2136,1
일식,스시라,814,1
일식,백소정                                    (공릉점),675,1
일식,스시앤모어,555,1
일식,개기일식,482,1
일식,그남자의덮밥,421,1
일식,오이시이,372,1
일식,무겐다이,306,1
일식,미소야                                    (공릉점),990,0
일식,갓포야,29,0
일식,아지스시,1514,1
일식,착한초밥,1366,1
일식,미소야                                    (노원역점),1061,1
일식,스시호,1019,1
일식,모리,615,1
일식,울림초밥,207,1
일식,노원고로케,22,1
일식,"여기,꼬치네",14,1
일식,독도참치앤스시,2437,0
일식,도마우에,2192,0
일식,오닭꼬치                                    (공릉점),1276,0
일식,김용희 참치,499,0
일식,고메즈,192,0
일식,허수아비돈까스,1168,4
일식,온기정,339,1
일식,쇼부라멘                                    (노원역점),259,1
일식,동경1993,2946,0
일식,항도,2815,0
일식,오니기리와이규동                                    (은행사거리점),1780,0
일식,주니초밥,1469,0
일식,도란도란,1404,0
일식,미락돈부리,981,0
일식,꼬치피네                                    (상계본점),885,0
일식,돗토리,753,0
일식,뱃놈,693,0
일식,코바코                                    (상계점),679,0
일식,아사쿠사,666,0
일식,임보겸초밥,621,0
일식,일상다반,583,0
일식,비루야                                    (2호점),559,0
일식,홍연집,547,0
일식,오이시 돈카츠,530,0
일식,노원이찌마수제돈까스,528,0
일식,후후스시,512,0
일식,신주쿠                                    (롯데백화점 노원점),510,0
일식,반월당고로케,498,0
일식,석이초밥,443,0
일식,스시노칸도                                    (노원점),275,0
일식,스시마고                                    (롯데백화점 노원점),259,0
일식,서민초밥,225,0
일식,반갑다연어야                                    (공릉점),221,0
일식,부엌다이닝키친,177,0
일식,이코이바,168,0
일식,가람참치앤스시,152,0
일식,대마에스시,131,0
일식,선수의생선집,129,1
일식,스시은,124,0
일식,데일리식탁,125,0
일식,송재만참치                                    (수락산역점),84,0
일식,쿠마키친                                    (수락산점),83,0
일식,오사카브루스,77,0
일식,솔직하다,63,0
일식,크레이지카츠                                    (롯데백화점 노원점),62,0
